ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
1;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik voel me [] die ik opdoe is van zeer hoog niveau.;Het is moeilijk om diepgang te vinden zonder meer één-op-één sessies.;I need more specific guidelines on what 'good progress' actually looks like for this course.
2;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Het is lastig om op [], [].;Kunnen we meer tijd krijgen voor individuele feedback? Het is nu te overzichtelijk.;They could improve by recognizing that academic success looks different across cultures.
3;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;It was difficult to gauge success because the parameters for grading were constantly shifting.;[] we [] in [] aan discussies.;[] helpen bij betere bereikbaarheid?
4;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Honestly, I feel that [NAME] is grading way too slowly, and we deserve prompt results.;I feel completely unsupported because getting replies takes far too long, [] in fact.;The current interval between support meetings feels too long for me to manage effectively.
5;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Overall, the material is good, but could benefit from some clearer structural outlines.;Het is teleurstellend dat we zo weinig diepgaand, individueel advies krijgen.;Alumni talks were wonderful, hearing real-world career journeys was very inspiring for me.
6;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Het is teleurstellend dat we zo weinig sessies hebben om de materie volledig te bestrijken.;I wish the instructors spent less time on slides and more time discussing real-world case studies.;[] over diverse carrières na afstuderen te ontvangen.
7;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;De uitleg van de complexere onderwerpen was [] voldoende concrete voorbeelden.;We missen meer 'informele' ontmoetingsplekken online, [] is voor een goed gevoel van gemeenschap.;De communicatie over aanpassingen is [] ik weet niet wie ik moet aanspreken.
8;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;[] is [NAME] zo langzaam met [] van onze examens? [] is slecht.;Ik voel me [] verloren in [], meer persoonlijke aandacht zou geweldig zijn.;[] was [], met duidelijke mijlpalen.
9;1;2026/27;Eindhoven;ICT & Business;Part-time;First-year;Het vakgebied [] dat ik me nu zeker [].;It is tough to get specific feedback because the teaching style feels very general and broadcasted.;Deze peer supportnetwerken hebben echt bijgedragen [].
10;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Ik heb ervaren dat de digitale toetsmaterialen soms niet goed functioneren of niet beschikbaar zijn.;De wachttijd voor een reactie van de begeleiding is problematisch en vermindert de studentervaring.;It’s great having a supportive peer community, it truly enhances the educational journey here.
11;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Could we get more real-world case studies? De theorie staat soms [].;Deze hoge mentor-overloop is erg slordig en ondermijnt het leerproces volledig.;Perhaps moving to bi-weekly support sessions would provide much-needed continuity and guidance.
12;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;It feels like the teaching load is too light, we need more time in the classroom.;Ik voel me [] die altijd [] we vragen.;Het was fijn dat er [] was, dat gaf me veel rust.
13;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;We really need more efficient grading, [NAME]'s assessments are taking too long to grade.;Het is echt frustrerend dat ik weken moet wachten op een reactie op mijn dringende e-mails.;Het is een goede start, [] culturele bewustzijn [] uitsluiting.
14;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could the teachers provide more varied teaching methods besides just slide presentations?;Ik denk dat meer aandacht voor de interdisciplinaire verbanden zou een grote [].;[] in de beschikbaarheid van de begeleiders, vooral na school.
15;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;It would be great if there was a dedicated office hour with clearer guidelines.;De technische ondersteuning moet verbeteren, online lessen vallen te vaak uit elkaar.;Sometimes emotional support feels like an afterthought when grades are the main focus.
16;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;De frequentie en [] minimaal voor een zo rijk programma.;It's frustrating how long it takes to get a simple clarification on the module requirements.;More workshops on mindfulness would really help students manage anxiety effectively.
17;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;I hope [NAME] can improve the grading timeline, we are waiting far too long for results.;Meer aandacht voor het behoud [] is [] succes.;I really valued the personalized academic roadmap created for my program.
18;1;2026/27;Tilburg;Artificial Intelligence;Part-time;Second-year;Ik voelde dat er [].;De docenten lijken meer bezig te zijn met [] met [].;The guidance on selecting elective courses was incredibly helpful for my overall degree plan.
19;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;De docenten zijn experts en hun passie voor het vak straalt echt door in de lessen.;I think the proactive mentorship approach elevates the entire educational quality here significantly.;More specialized workshops on interview techniques, especially behavioral questions, would be excellent.
20;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I suggest improving the reliability of the technical tools provided for coursework.;They seem disconnected from the practical realities students face outside the lecture hall.;De peer support groepen waren super waardevol, het voelde echt goed om met medestudenten te kunnen praten.
21;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik heb moeite met de inconsistentie in de feedback, soms is het vaag en onduidelijk.;I wish there was a clearer pathway to mentoring specifically designed for distance learners.;[] consistent en duidelijk gecommuniceerd werden [].
22;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;We need more consistent updates, because the communication from different sources is mixed.;[] []?;Ik waardeer de openheid, maar ik hoop op meer erkenning en validatie [] culturele ervaringen.
23;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Het is jammer dat de colleges zo kort zijn, we hebben meer diepgang nodig.;We really need more dedicated virtual office [], the online students feel completely forgotten.;De sfeer van samenwerking tussen studenten is fantastisch en ik wil dat [].
24;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Could the department improve communication regarding teacher availability outside class?;Het is echt vervelend dat er altijd een foutmelding verschijnt bij het boeken.;Ik wil meer weten over het vinden van gespecialiseerde vacatures en het sollicitatieproces daartoe.
25;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Why is [NAME] always taking so long with grading? It impacts our academic planning significantly.;De begeleiding voelt meer als een massa-uitzending dan individueel advies, [] is.;Kunt u meer uitleggen wat het verschil is tussen 'goed' en 'uitmuntend' in []?
26;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;We zouden baat kunnen hebben bij extra collegezalen voor betere begrip.;The assessment methods don't seem to align with the skills we actually need in the job market.;I appreciate the thoughtful direction on maximizing my academic potential throughout the program.
27;1;2026/27;Den Bosh;Cyber Security;Part-time;Third-year;[] studenten hebben.;Maybe the institution could organize formal workshops for the student mentors themselves.;We need better emotional literacy training integrated into the student experience overall.
28;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;The faculty provides insightful perspectives that extend beyond the textbook material.;De docenten [] we nooit het gevoel hebben dat we een vraag moeten ophopen.;Could we perhaps organize more sessions focusing on industry-specific skills and job market trends?
29;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Ze communiceren niet goed genoeg over de verwachtingen voor het examen, we [].;It makes us doubtful when the personal advice contradicts what the department handbook says.;[] om informeel met [] enorm waardevol voor de algemene ervaring.
30;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;[] case studies bevatten in [].;They need clearer guidelines on how to handle academic doubts from students.;Kunnen de begeleiders [] []?
31;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;[] we de theorieën meer kunnen koppelen aan [].;De docenten [] voelen, altijd met [] welzijn.;Ik waardeer de middelen, [].
